order_id,review_score,review_comment_title,review_comment_body,review_creation_date,review_answer_timestamp
ORD_000001,4,,,2024-05-20 11:52:00,2024-05-22 11:52:00
ORD_000002,5,,,2024-08-25 16:25:00,2024-08-27 16:25:00
ORD_000003,4,,,2024-11-21 03:43:00,2024-11-22 03:43:00
ORD_000004,4,,,2024-01-16 07:23:00,2024-01-19 07:23:00
ORD_000005,4,,,2024-09-07 19:28:00,2024-09-08 19:28:00
ORD_000006,5,,,2024-03-31 15:37:00,2024-04-01 15:37:00
ORD_000007,4,,,2024-10-09 11:22:00,2024-10-10 11:22:00
ORD_000008,4,,,2024-03-24 08:47:00,2024-03-29 08:47:00
ORD_000009,5,,,2024-12-18 02:18:00,2024-12-19 02:18:00
ORD_000010,4,,,2024-01-15 12:03:00,2024-01-19 12:03:00
ORD_000011,4,,,2024-03-24 18:49:00,2024-03-29 18:49:00
ORD_000012,4,,,2024-04-19 07:41:00,2024-04-21 07:41:00
ORD_000013,5,,,2024-04-25 21:13:00,2024-04-26 21:13:00
ORD_000014,4,,,2024-05-17 20:26:00,2024-05-19 20:26:00
ORD_000015,3,,,2024-09-19 00:55:00,2024-09-22 00:55:00
ORD_000016,4,,,2024-12-15 00:30:00,2024-12-19 00:30:00
ORD_000017,5,,,2024-03-08 20:11:00,2024-03-09 20:11:00
ORD_000018,2,,,2024-11-03 00:14:00,2024-11-08 00:14:00
ORD_000019,5,,,2024-05-09 19:51:00,2024-05-10 19:51:00
ORD_000020,4,,,2024-06-05 22:45:00,2024-06-10 22:45:00
ORD_000021,5,,,2024-11-25 08:27:00,2024-11-27 08:27:00
ORD_000022,5,,,2024-07-11 11:29:00,2024-07-15 11:29:00
ORD_000023,4,,,2024-05-09 06:29:00,2024-05-13 06:29:00
ORD_000024,3,,,2024-06-03 21:33:00,2024-06-04 21:33:00
ORD_000025,3,,,2024-11-15 12:37:00,2024-11-19 12:37:00
ORD_000026,3,,,2024-02-22 00:32:00,2024-02-26 00:32:00
ORD_000027,5,,,2024-12-05 11:35:00,2024-12-08 11:35:00
ORD_000028,4,,,2024-11-27 19:38:00,2024-12-02 19:38:00
ORD_000029,4,,,2024-05-24 09:43:00,2024-05-29 09:43:00
